particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Exposure margin blocked for NSE F&O,2024-03-05,NSE-F&O - Z,Delivery Voucher,46930.410000,0.000000,-313828.158070
DP Charges for Sale of IREDA on 06/03/2024,2024-03-06,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-313844.088070
DP Charges for Sale of AZAD on 06/03/2024,2024-03-06,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-313860.018070
Span margin reversed for NSE CDS,2024-03-06,NSE-CDS - Z,Delivery Voucher,0.000000,105536.000000,-208324.018070
Exposure margin reversed for NSE CDS,2024-03-06,NSE-CDS - Z,Delivery Voucher,0.000000,62195.330000,-146128.688070
Span margin blocked for NSE CDS,2024-03-06,NSE-CDS - Z,Delivery Voucher,110638.000000,0.000000,-256766.688070
Exposure margin blocked for NSE CDS,2024-03-06,NSE-CDS - Z,Delivery Voucher,62180.850000,0.000000,-318947.538070
Net settlement for Equity with settlement number: 2024047,2024-03-06,NSE-EQ - Z,Book Voucher,0.000000,13411.628291,-305535.909779
Span margin reversed for NSE F&O,2024-03-06,NSE-F&O - Z,Delivery Voucher,0.000000,117638.250000,-187897.659779
Exposure margin reversed for NSE F&O,2024-03-06,NSE-F&O - Z,Delivery Voucher,0.000000,46930.410000,-140967.249779
Net obligation for Equity F&O,2024-03-06,NSE-F&O - Z,Book Voucher,0.000000,902.346208,-140064.903571
Span margin blocked for NSE F&O,2024-03-06,NSE-F&O - Z,Delivery Voucher,131420.750000,0.000000,-271485.653571
Exposure margin blocked for NSE F&O,2024-03-06,NSE-F&O - Z,Delivery Voucher,69841.940000,0.000000,-341327.593571
Payout of 10000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2024-03-06 with reference number 7dd37c6494,2024-03-06,NSE-EQ - Z,Bank Payments,10000.000000,0.000000,-351327.593571
DP Charges for Sale of IREDA on 07/03/2024,2024-03-07,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-351343.523571
Span margin reversed for NSE CDS,2024-03-07,NSE-CDS - Z,Delivery Voucher,0.000000,110638.000000,-240705.523571
Exposure margin reversed for NSE CDS,2024-03-07,NSE-CDS - Z,Delivery Voucher,0.000000,62180.850000,-178524.673571
Span margin blocked for NSE CDS,2024-03-07,NSE-CDS - Z,Delivery Voucher,127540.000000,0.000000,-306064.673571
Exposure margin blocked for NSE CDS,2024-03-07,NSE-CDS - Z,Delivery Voucher,62083.870000,0.000000,-368148.543571
Net settlement for Equity with settlement number: 2024048,2024-03-07,NSE-EQ - Z,Book Voucher,0.000000,2154.890207,-365993.653364
Span margin reversed for NSE F&O,2024-03-07,NSE-F&O - Z,Delivery Voucher,0.000000,131420.750000,-234572.903364
Exposure margin reversed for NSE F&O,2024-03-07,NSE-F&O - Z,Delivery Voucher,0.000000,69841.940000,-164730.963364
Span margin blocked for NSE F&O,2024-03-07,NSE-F&O - Z,Delivery Voucher,125618.750000,0.000000,-290349.713364
Exposure margin blocked for NSE F&O,2024-03-07,NSE-F&O - Z,Delivery Voucher,70152.890000,0.000000,-360502.603364
DP Charges for Sale of IREDA on 11/03/2024,2024-03-11,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-360518.533364
Net settlement for Equity with settlement number: 2024049,2024-03-11,NSE-EQ - Z,Book Voucher,0.000000,2861.858043,-357656.675321
Span margin reversed for NSE CDS,2024-03-11,NSE-CDS - Z,Delivery Voucher,0.000000,127540.000000,-230116.675321
Exposure margin reversed for NSE CDS,2024-03-11,NSE-CDS - Z,Delivery Voucher,0.000000,62083.870000,-168032.805321
Span margin blocked for NSE CDS,2024-03-11,NSE-CDS - Z,Delivery Voucher,120968.000000,0.000000,-289000.805321
Exposure margin blocked for NSE CDS,2024-03-11,NSE-CDS - Z,Delivery Voucher,62007.750000,0.000000,-351008.555321
Span margin reversed for NSE F&O,2024-03-11,NSE-F&O - Z,Delivery Voucher,0.000000,125618.750000,-225389.805321
Exposure margin reversed for NSE F&O,2024-03-11,NSE-F&O - Z,Delivery Voucher,0.000000,70152.890000,-155236.915321
Span margin blocked for NSE F&O,2024-03-11,NSE-F&O - Z,Delivery Voucher,117506.250000,0.000000,-272743.165321
Exposure margin blocked for NSE F&O,2024-03-11,NSE-F&O - Z,Delivery Voucher,69914.690000,0.000000,-342657.855321
Payout of 10000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2024-03-11 with reference number e13b8f37ba,2024-03-11,NSE-EQ - Z,Bank Payments,10000.000000,0.000000,-352657.855321
DP Charges for Sale of IREDA on 12/03/2024,2024-03-12,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-352673.785321
Span margin reversed for NSE CDS,2024-03-12,NSE-CDS - Z,Delivery Voucher,0.000000,120968.000000,-231705.785321
Exposure margin reversed for NSE CDS,2024-03-12,NSE-CDS - Z,Delivery Voucher,0.000000,62007.750000,-169698.035321
Span margin blocked for NSE CDS,2024-03-12,NSE-CDS - Z,Delivery Voucher,116372.000000,0.000000,-286070.035321
Exposure margin blocked for NSE CDS,2024-03-12,NSE-CDS - Z,Delivery Voucher,62058.750000,0.000000,-348128.785321
Net settlement for Equity with settlement number: 2024050,2024-03-12,NSE-EQ - Z,Book Voucher,0.000000,2745.863313,-345382.922008
Span margin reversed for NSE F&O,2024-03-12,NSE-F&O - Z,Delivery Voucher,0.000000,117506.250000,-227876.672008
Exposure margin reversed for NSE F&O,2024-03-12,NSE-F&O - Z,Delivery Voucher,0.000000,69914.690000,-157961.982008
Span margin blocked for NSE F&O,2024-03-12,NSE-F&O - Z,Delivery Voucher,109826.000000,0.000000,-267787.982008
Exposure margin blocked for NSE F&O,2024-03-12,NSE-F&O - Z,Delivery Voucher,70348.930000,0.000000,-338136.912008
Buyback Order Placement charge for Bajaj Auto Limited,2024-03-13,NSE-EQ - Z,Journal Entry,23.600000,0.000000,-338160.512008
Span margin reversed for NSE CDS,2024-03-13,NSE-CDS - Z,Delivery Voucher,0.000000,116372.000000,-221788.512008
Exposure margin reversed for NSE CDS,2024-03-13,NSE-CDS - Z,Delivery Voucher,0.000000,62058.750000,-159729.762008
Exposure margin blocked for NSE CDS,2024-03-13,NSE-CDS - Z,Delivery Voucher,62177.030000,0.000000,-221906.792008
Span margin blocked for NSE CDS,2024-03-13,NSE-CDS - Z,Delivery Voucher,110660.000000,0.000000,-332566.792008
Span margin reversed for NSE F&O,2024-03-13,NSE-F&O - Z,Delivery Voucher,0.000000,109826.000000,-222740.792008
Exposure margin reversed for NSE F&O,2024-03-13,NSE-F&O - Z,Delivery Voucher,0.000000,70348.930000,-152391.862008
Span margin blocked for NSE F&O,2024-03-13,NSE-F&O - Z,Delivery Voucher,107613.250000,0.000000,-260005.112008
Exposure margin blocked for NSE F&O,2024-03-13,NSE-F&O - Z,Delivery Voucher,69408.030000,0.000000,-329413.142008
DP Charges for Sale of IREDA on 14/03/2024,2024-03-14,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-329429.072008
Span margin reversed for NSE CDS,2024-03-14,NSE-CDS - Z,Delivery Voucher,0.000000,110660.000000,-218769.072008
Exposure margin reversed for NSE CDS,2024-03-14,NSE-CDS - Z,Delivery Voucher,0.000000,62177.030000,-156592.042008
Span margin blocked for NSE CDS,2024-03-14,NSE-CDS - Z,Delivery Voucher,109090.000000,0.000000,-265682.042008
Exposure margin blocked for NSE CDS,2024-03-14,NSE-CDS - Z,Delivery Voucher,62153.180000,0.000000,-327835.222008
Net settlement for Equity with settlement number: 2024052,2024-03-14,NSE-EQ - Z,Book Voucher,0.000000,1297.929186,-326537.292822
Span margin reversed for NSE F&O,2024-03-14,NSE-F&O - Z,Delivery Voucher,0.000000,107613.250000,-218924.042822
Exposure margin reversed for NSE F&O,2024-03-14,NSE-F&O - Z,Delivery Voucher,0.000000,69408.030000,-149516.012822
Span margin blocked for NSE F&O,2024-03-14,NSE-F&O - Z,Delivery Voucher,104920.250000,0.000000,-254436.262822
Exposure margin blocked for NSE F&O,2024-03-14,NSE-F&O - Z,Delivery Voucher,70064.850000,0.000000,-324501.112822
DP Charges for Sale of IREDA on 15/03/2024,2024-03-15,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-324517.042822
Span margin reversed for NSE CDS,2024-03-15,NSE-CDS - Z,Delivery Voucher,0.000000,109090.000000,-215427.042822
Exposure margin reversed for NSE CDS,2024-03-15,NSE-CDS - Z,Delivery Voucher,0.000000,62153.180000,-153273.862822
Span margin blocked for NSE CDS,2024-03-15,NSE-CDS - Z,Delivery Voucher,108726.000000,0.000000,-261999.862822
Exposure margin blocked for NSE CDS,2024-03-15,NSE-CDS - Z,Delivery Voucher,62168.930000,0.000000,-324168.792822
Net settlement for Equity with settlement number: 2024053,2024-03-15,NSE-EQ - Z,Book Voucher,0.000000,3820.814430,-320347.978392
Span margin reversed for NSE F&O,2024-03-15,NSE-F&O - Z,Delivery Voucher,0.000000,104920.250000,-215427.728392
Exposure margin reversed for NSE F&O,2024-03-15,NSE-F&O - Z,Delivery Voucher,0.000000,70064.850000,-145362.878392
Span margin blocked for NSE F&O,2024-03-15,NSE-F&O - Z,Delivery Voucher,101739.750000,0.000000,-247102.628392
Exposure margin blocked for NSE F&O,2024-03-15,NSE-F&O - Z,Delivery Voucher,69889.300000,0.000000,-316991.928392
DP Charges for Sale of IREDA on 18/03/2024,2024-03-18,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-317007.858392
Exposure margin reversed for NSE CDS,2024-03-18,NSE-CDS - Z,Delivery Voucher,0.000000,62168.930000,-254838.928392
Span margin reversed for NSE CDS,2024-03-18,NSE-CDS - Z,Delivery Voucher,0.000000,108726.000000,-146112.928392
Span margin blocked for NSE CDS,2024-03-18,NSE-CDS - Z,Delivery Voucher,104571.000000,0.000000,-250683.928392
Exposure margin blocked for NSE CDS,2024-03-18,NSE-CDS - Z,Delivery Voucher,62180.850000,0.000000,-312864.778392
Net settlement for Equity with settlement number: 2024054,2024-03-18,NSE-EQ - Z,Book Voucher,0.000000,1317.928278,-311546.850114
Span margin reversed for NSE F&O,2024-03-18,NSE-F&O - Z,Delivery Voucher,0.000000,101739.750000,-209807.100114
Exposure margin reversed for NSE F&O,2024-03-18,NSE-F&O - Z,Delivery Voucher,0.000000,69889.300000,-139917.800114
Span margin blocked for NSE F&O,2024-03-18,NSE-F&O - Z,Delivery Voucher,108083.250000,0.000000,-248001.050114
Exposure margin blocked for NSE F&O,2024-03-18,NSE-F&O - Z,Delivery Voucher,69544.240000,0.000000,-317545.290114
Payout of 10000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2024-03-18 with reference number c6aa5a19ff,2024-03-18,NSE-EQ - Z,Bank Payments,10000.000000,0.000000,-327545.290114
DP Charges for Sale of IREDA on 19/03/2024,2024-03-19,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-327561.220114
Net settlement for buyback with settlement number: 2024027,2024-03-19,NSE-EQ - Z,Book Voucher,12.407100,0.000000,-327573.627214
Span margin reversed for NSE CDS,2024-03-19,NSE-CDS - Z,Delivery Voucher,0.000000,104571.000000,-223002.627214
Exposure margin reversed for NSE CDS,2024-03-19,NSE-CDS - Z,Delivery Voucher,0.000000,62180.850000,-160821.777214
Span margin blocked for NSE CDS,2024-03-19,NSE-CDS - Z,Delivery Voucher,94803.000000,0.000000,-255624.777214
Exposure margin blocked for NSE CDS,2024-03-19,NSE-CDS - Z,Delivery Voucher,62205.080000,0.000000,-317829.857214
Net settlement for Equity with settlement number: 2024055,2024-03-19,NSE-EQ - Z,Book Voucher,0.000000,1300.485214,-316529.372000
Span margin reversed for NSE F&O,2024-03-19,NSE-F&O - Z,Delivery Voucher,0.000000,108083.250000,-208446.122000
Exposure margin reversed for NSE F&O,2024-03-19,NSE-F&O - Z,Delivery Voucher,0.000000,69544.240000,-138901.882000
Span margin blocked for NSE F&O,2024-03-19,NSE-F&O - Z,Delivery Voucher,132503.750000,0.000000,-271405.632000
Exposure margin blocked for NSE F&O,2024-03-19,NSE-F&O - Z,Delivery Voucher,67995.860000,0.000000,-339401.492000
Span margin reversed for NSE CDS,2024-03-20,NSE-CDS - Z,Delivery Voucher,0.000000,94803.000000,-244598.492000
Exposure margin reversed for NSE CDS,2024-03-20,NSE-CDS - Z,Delivery Voucher,0.000000,62205.080000,-182393.412000
Span margin blocked for NSE CDS,2024-03-20,NSE-CDS - Z,Delivery Voucher,83293.000000,0.000000,-265686.412000
Exposure margin blocked for NSE CDS,2024-03-20,NSE-CDS - Z,Delivery Voucher,62326.650000,0.000000,-328013.062000
Span margin reversed for NSE F&O,2024-03-20,NSE-F&O - Z,Delivery Voucher,0.000000,132503.750000,-195509.312000
Exposure margin reversed for NSE F&O,2024-03-20,NSE-F&O - Z,Delivery Voucher,0.000000,67995.860000,-127513.452000
Span margin blocked for NSE F&O,2024-03-20,NSE-F&O - Z,Delivery Voucher,132469.500000,0.000000,-259982.952000
Exposure margin blocked for NSE F&O,2024-03-20,NSE-F&O - Z,Delivery Voucher,67999.960000,0.000000,-327982.912000
DP Charges for Sale of IREDA on 21/03/2024,2024-03-21,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-327998.842000
Span margin reversed for NSE CDS,2024-03-21,NSE-CDS - Z,Delivery Voucher,0.000000,83293.000000,-244705.842000
Exposure margin reversed for NSE CDS,2024-03-21,NSE-CDS - Z,Delivery Voucher,0.000000,62326.650000,-182379.192000
Exposure margin blocked for NSE CDS,2024-03-21,NSE-CDS - Z,Delivery Voucher,62348.100000,0.000000,-244727.292000
Span margin blocked for NSE CDS,2024-03-21,NSE-CDS - Z,Delivery Voucher,84821.000000,0.000000,-329548.292000
Span margin reversed for NSE F&O,2024-03-21,NSE-F&O - Z,Delivery Voucher,0.000000,132469.500000,-197078.792000
Exposure margin reversed for NSE F&O,2024-03-21,NSE-F&O - Z,Delivery Voucher,0.000000,67999.960000,-129078.832000
Span margin blocked for NSE F&O,2024-03-21,NSE-F&O - Z,Delivery Voucher,129925.000000,0.000000,-259003.832000
Exposure margin blocked for NSE F&O,2024-03-21,NSE-F&O - Z,Delivery Voucher,68358.220000,0.000000,-327362.052000
Net settlement for Equity with settlement number: 2024057,2024-03-21,NSE-EQ - Z,Book Voucher,0.000000,1311.428573,-326050.623427
Payout of 10000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2024-03-21 with reference number 1dd8474c4e,2024-03-21,NSE-EQ - Z,Bank Payments,10000.000000,0.000000,-336050.623427
Span margin reversed for NSE CDS,2024-03-22,NSE-CDS - Z,Delivery Voucher,0.000000,84821.000000,-251229.623427
Exposure margin reversed for NSE CDS,2024-03-22,NSE-CDS - Z,Delivery Voucher,0.000000,62348.100000,-188881.523427
Span margin blocked for NSE CDS,2024-03-22,NSE-CDS - Z,Delivery Voucher,55916.000000,0.000000,-244797.523427
Exposure margin blocked for NSE CDS,2024-03-22,NSE-CDS - Z,Delivery Voucher,62515.950000,0.000000,-307313.473427
Span margin reversed for NSE F&O,2024-03-22,NSE-F&O - Z,Delivery Voucher,0.000000,129925.000000,-177388.473427
Exposure margin reversed for NSE F&O,2024-03-22,NSE-F&O - Z,Delivery Voucher,0.000000,68358.220000,-109030.253427
Span margin blocked for NSE F&O,2024-03-22,NSE-F&O - Z,Delivery Voucher,139606.500000,0.000000,-248636.753427
Exposure margin blocked for NSE F&O,2024-03-22,NSE-F&O - Z,Delivery Voucher,68148.680000,0.000000,-316785.433427
DP Charges for Sale of IREDA on 26/03/2024,2024-03-26,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-316801.363427
Exposure margin reversed for NSE CDS,2024-03-26,NSE-CDS - Z,Delivery Voucher,0.000000,62515.950000,-254285.413427
Span margin reversed for NSE CDS,2024-03-26,NSE-CDS - Z,Delivery Voucher,0.000000,55916.000000,-198369.413427
Span margin reversed for NSE F&O,2024-03-26,NSE-F&O - Z,Delivery Voucher,0.000000,139606.500000,-58762.913427
Exposure margin reversed for NSE F&O,2024-03-26,NSE-F&O - Z,Delivery Voucher,0.000000,68148.680000,9385.766573
Span margin blocked for NSE F&O,2024-03-26,NSE-F&O - Z,Delivery Voucher,144177.250000,0.000000,-134791.483427
Exposure margin blocked for NSE F&O,2024-03-26,NSE-F&O - Z,Delivery Voucher,67758.780000,0.000000,-202550.263427
Net settlement for Equity with settlement number: 2024059,2024-03-26,NSE-EQ - Z,Book Voucher,0.000000,2842.858906,-199707.404521
Span margin reversed for NSE F&O,2024-03-27,NSE-F&O - Z,Delivery Voucher,0.000000,144177.250000,-55530.154521
Exposure margin reversed for NSE F&O,2024-03-27,NSE-F&O - Z,Delivery Voucher,0.000000,67758.780000,12228.625479
Span margin blocked for NSE F&O,2024-03-27,NSE-F&O - Z,Delivery Voucher,153080.000000,0.000000,-140851.374521
Exposure margin blocked for NSE F&O,2024-03-27,NSE-F&O - Z,Delivery Voucher,67772.510000,0.000000,-208623.884521
Span margin reversed for NSE F&O,2024-03-28,NSE-F&O - Z,Delivery Voucher,0.000000,153080.000000,-55543.884521
Exposure margin reversed for NSE F&O,2024-03-28,NSE-F&O - Z,Delivery Voucher,0.000000,67772.510000,12228.625479
Net obligation for Equity F&O,2024-03-28,NSE-F&O - Z,Book Voucher,0.000000,2352.189131,14580.814610
Span margin blocked for NSE F&O,2024-03-28,NSE-F&O - Z,Delivery Voucher,65664.000000,0.000000,-51083.185390
Exposure margin blocked for NSE F&O,2024-03-28,NSE-F&O - Z,Delivery Voucher,23743.260000,0.000000,-74826.445390
AMC for Demat Account for 25-09-2023 to 24-12-2023,2024-03-31,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-74914.945390
Span margin reversed for NSE F&O,2024-04-01,NSE-F&O - Z,Delivery Voucher,0.000000,65664.000000,-9250.945390
Exposure margin reversed for NSE F&O,2024-04-01,NSE-F&O - Z,Delivery Voucher,0.000000,23743.260000,14492.314610
Net obligation for Equity F&O,2024-04-01,NSE-F&O - Z,Book Voucher,0.000000,7568.292252,22060.606862
Span margin blocked for NSE F&O,2024-04-01,NSE-F&O - Z,Delivery Voucher,196474.000000,0.000000,-174413.393138
Exposure margin blocked for NSE F&O,2024-04-01,NSE-F&O - Z,Delivery Voucher,73393.210000,0.000000,-247806.603138
Span margin reversed for NSE F&O,2024-04-02,NSE-F&O - Z,Delivery Voucher,0.000000,196474.000000,-51332.603138
Exposure margin reversed for NSE F&O,2024-04-02,NSE-F&O - Z,Delivery Voucher,0.000000,73393.210000,22060.606862
Net obligation for Equity F&O,2024-04-02,NSE-F&O - Z,Book Voucher,0.000000,1374.572348,23435.179210
Span margin blocked for NSE F&O,2024-04-02,NSE-F&O - Z,Delivery Voucher,248257.500000,0.000000,-224822.320790
Exposure margin blocked for NSE F&O,2024-04-02,NSE-F&O - Z,Delivery Voucher,93490.880000,0.000000,-318313.200790
Net settlement for Equity with settlement number: 2024063,2024-04-02,NSE-EQ - Z,Book Voucher,7912.871078,0.000000,-326226.071868
Span margin reversed for NSE F&O,2024-04-03,NSE-F&O - Z,Delivery Voucher,0.000000,248257.500000,-77968.571868
Exposure margin reversed for NSE F&O,2024-04-03,NSE-F&O - Z,Delivery Voucher,0.000000,93490.880000,15522.308132
Span margin blocked for NSE F&O,2024-04-03,NSE-F&O - Z,Delivery Voucher,243061.500000,0.000000,-227539.191868
Exposure margin blocked for NSE F&O,2024-04-03,NSE-F&O - Z,Delivery Voucher,93732.360000,0.000000,-321271.551868
Span margin reversed for NSE F&O,2024-04-04,NSE-F&O - Z,Delivery Voucher,0.000000,243061.500000,-78210.051868
Exposure margin reversed for NSE F&O,2024-04-04,NSE-F&O - Z,Delivery Voucher,0.000000,93732.360000,15522.308132
Span margin blocked for NSE F&O,2024-04-04,NSE-F&O - Z,Delivery Voucher,236528.500000,0.000000,-221006.191868
Exposure margin blocked for NSE F&O,2024-04-04,NSE-F&O - Z,Delivery Voucher,94278.040000,0.000000,-315284.231868
Span margin reversed for NSE F&O,2024-04-05,NSE-F&O - Z,Delivery Voucher,0.000000,236528.500000,-78755.731868
Exposure margin reversed for NSE F&O,2024-04-05,NSE-F&O - Z,Delivery Voucher,0.000000,94278.040000,15522.308132
Span margin blocked for NSE F&O,2024-04-05,NSE-F&O - Z,Delivery Voucher,235631.500000,0.000000,-220109.191868
Exposure margin blocked for NSE F&O,2024-04-05,NSE-F&O - Z,Delivery Voucher,94136.390000,0.000000,-314245.581868
Span margin reversed for NSE F&O,2024-04-08,NSE-F&O - Z,Delivery Voucher,0.000000,235631.500000,-78614.081868
Exposure margin reversed for NSE F&O,2024-04-08,NSE-F&O - Z,Delivery Voucher,0.000000,94136.390000,15522.308132
Span margin blocked for NSE F&O,2024-04-08,NSE-F&O - Z,Delivery Voucher,234051.500000,0.000000,-218529.191868
Exposure margin blocked for NSE F&O,2024-04-08,NSE-F&O - Z,Delivery Voucher,94307.140000,0.000000,-312836.331868
Span margin reversed for NSE F&O,2024-04-09,NSE-F&O - Z,Delivery Voucher,0.000000,234051.500000,-78784.831868
Exposure margin reversed for NSE F&O,2024-04-09,NSE-F&O - Z,Delivery Voucher,0.000000,94307.140000,15522.308132
Net obligation for Equity F&O,2024-04-09,NSE-F&O - Z,Book Voucher,0.000000,877.366460,16399.674592
Span margin blocked for NSE F&O,2024-04-09,NSE-F&O - Z,Delivery Voucher,239142.250000,0.000000,-222742.575408
Exposure margin blocked for NSE F&O,2024-04-09,NSE-F&O - Z,Delivery Voucher,117508.740000,0.000000,-340251.315408
Span margin reversed for NSE F&O,2024-04-10,NSE-F&O - Z,Delivery Voucher,0.000000,239142.250000,-101109.065408
Exposure margin reversed for NSE F&O,2024-04-10,NSE-F&O - Z,Delivery Voucher,0.000000,117508.740000,16399.674592
Span margin blocked for NSE F&O,2024-04-10,NSE-F&O - Z,Delivery Voucher,238046.000000,0.000000,-221646.325408
Exposure margin blocked for NSE F&O,2024-04-10,NSE-F&O - Z,Delivery Voucher,118188.780000,0.000000,-339835.105408
Span margin reversed for NSE F&O,2024-04-12,NSE-F&O - Z,Delivery Voucher,0.000000,238046.000000,-101789.105408
Exposure margin reversed for NSE F&O,2024-04-12,NSE-F&O - Z,Delivery Voucher,0.000000,118188.780000,16399.674592
Span margin blocked for NSE F&O,2024-04-12,NSE-F&O - Z,Delivery Voucher,231161.250000,0.000000,-214761.575408
Exposure margin blocked for NSE F&O,2024-04-12,NSE-F&O - Z,Delivery Voucher,117391.370000,0.000000,-332152.945408
Span margin reversed for NSE F&O,2024-04-15,NSE-F&O - Z,Delivery Voucher,0.000000,231161.250000,-100991.695408
Exposure margin reversed for NSE F&O,2024-04-15,NSE-F&O - Z,Delivery Voucher,0.000000,117391.370000,16399.674592
Net obligation for Equity F&O,2024-04-15,NSE-F&O - Z,Book Voucher,0.000000,6558.776043,22958.450635
Span margin blocked for NSE F&O,2024-04-15,NSE-F&O - Z,Delivery Voucher,555804.250000,0.000000,-532845.799365
Exposure margin blocked for NSE F&O,2024-04-15,NSE-F&O - Z,Delivery Voucher,227647.760000,0.000000,-760493.559365
Span margin reversed for NSE F&O,2024-04-16,NSE-F&O - Z,Delivery Voucher,0.000000,555804.250000,-204689.309365
Exposure margin reversed for NSE F&O,2024-04-16,NSE-F&O - Z,Delivery Voucher,0.000000,227647.760000,22958.450635
Span margin blocked for NSE F&O,2024-04-16,NSE-F&O - Z,Delivery Voucher,593917.500000,0.000000,-570959.049365
Exposure margin blocked for NSE F&O,2024-04-16,NSE-F&O - Z,Delivery Voucher,225481.960000,0.000000,-796441.009365
Span margin reversed for NSE F&O,2024-04-18,NSE-F&O - Z,Delivery Voucher,0.000000,593917.500000,-202523.509365
Exposure margin reversed for NSE F&O,2024-04-18,NSE-F&O - Z,Delivery Voucher,0.000000,225481.960000,22958.450635
Span margin blocked for NSE F&O,2024-04-18,NSE-F&O - Z,Delivery Voucher,605653.000000,0.000000,-582694.549365
Exposure margin blocked for NSE F&O,2024-04-18,NSE-F&O - Z,Delivery Voucher,225640.910000,0.000000,-808335.459365
Span margin reversed for NSE F&O,2024-04-19,NSE-F&O - Z,Delivery Voucher,0.000000,605653.000000,-202682.459365
Exposure margin reversed for NSE F&O,2024-04-19,NSE-F&O - Z,Delivery Voucher,0.000000,225640.910000,22958.450635
Span margin blocked for NSE F&O,2024-04-19,NSE-F&O - Z,Delivery Voucher,592618.750000,0.000000,-569660.299365
Exposure margin blocked for NSE F&O,2024-04-19,NSE-F&O - Z,Delivery Voucher,226702.890000,0.000000,-796363.189365
Span margin reversed for NSE F&O,2024-04-22,NSE-F&O - Z,Delivery Voucher,0.000000,592618.750000,-203744.439365
Exposure margin reversed for NSE F&O,2024-04-22,NSE-F&O - Z,Delivery Voucher,0.000000,226702.890000,22958.450635
Span margin blocked for NSE F&O,2024-04-22,NSE-F&O - Z,Delivery Voucher,556098.000000,0.000000,-533139.549365
Exposure margin blocked for NSE F&O,2024-04-22,NSE-F&O - Z,Delivery Voucher,229494.680000,0.000000,-762634.229365
Span margin reversed for NSE F&O,2024-04-23,NSE-F&O - Z,Delivery Voucher,0.000000,556098.000000,-206536.229365
Exposure margin reversed for NSE F&O,2024-04-23,NSE-F&O - Z,Delivery Voucher,0.000000,229494.680000,22958.450635
Net obligation for Equity F&O,2024-04-23,NSE-F&O - Z,Book Voucher,0.000000,1585.833421,24544.284056
Span margin blocked for NSE F&O,2024-04-23,NSE-F&O - Z,Delivery Voucher,583858.500000,0.000000,-559314.215944
Exposure margin blocked for NSE F&O,2024-04-23,NSE-F&O - Z,Delivery Voucher,276277.500000,0.000000,-835591.715944
Span margin reversed for NSE F&O,2024-04-24,NSE-F&O - Z,Delivery Voucher,0.000000,583858.500000,-251733.215944
Exposure margin reversed for NSE F&O,2024-04-24,NSE-F&O - Z,Delivery Voucher,0.000000,276277.500000,24544.284056
Span margin blocked for NSE F&O,2024-04-24,NSE-F&O - Z,Delivery Voucher,592101.500000,0.000000,-567557.215944
Exposure margin blocked for NSE F&O,2024-04-24,NSE-F&O - Z,Delivery Voucher,276395.330000,0.000000,-843952.545944
Span margin reversed for NSE F&O,2024-04-25,NSE-F&O - Z,Delivery Voucher,0.000000,592101.500000,-251851.045944
Exposure margin reversed for NSE F&O,2024-04-25,NSE-F&O - Z,Delivery Voucher,0.000000,276395.330000,24544.284056
Net obligation for Equity F&O,2024-04-25,NSE-F&O - Z,Book Voucher,2411.486806,0.000000,22132.797250
Span margin blocked for NSE F&O,2024-04-25,NSE-F&O - Z,Delivery Voucher,118944.000000,0.000000,-96811.202750
Exposure margin blocked for NSE F&O,2024-04-25,NSE-F&O - Z,Delivery Voucher,68735.430000,0.000000,-165546.632750
Span margin reversed for NSE F&O,2024-04-26,NSE-F&O - Z,Delivery Voucher,0.000000,118944.000000,-46602.632750
Exposure margin reversed for NSE F&O,2024-04-26,NSE-F&O - Z,Delivery Voucher,0.000000,68735.430000,22132.797250
Net obligation for Equity F&O,2024-04-26,NSE-F&O - Z,Book Voucher,0.000000,4186.180095,26318.977345
Span margin blocked for NSE F&O,2024-04-26,NSE-F&O - Z,Delivery Voucher,518904.250000,0.000000,-492585.272655
Exposure margin blocked for NSE F&O,2024-04-26,NSE-F&O - Z,Delivery Voucher,248944.810000,0.000000,-741530.082655
Span margin reversed for NSE F&O,2024-04-29,NSE-F&O - Z,Delivery Voucher,0.000000,518904.250000,-222625.832655
Exposure margin reversed for NSE F&O,2024-04-29,NSE-F&O - Z,Delivery Voucher,0.000000,248944.810000,26318.977345
Span margin blocked for NSE F&O,2024-04-29,NSE-F&O - Z,Delivery Voucher,505021.000000,0.000000,-478702.022655
Exposure margin blocked for NSE F&O,2024-04-29,NSE-F&O - Z,Delivery Voucher,249866.050000,0.000000,-728568.072655
Span margin reversed for NSE F&O,2024-04-30,NSE-F&O - Z,Delivery Voucher,0.000000,505021.000000,-223547.072655
